.央视频道,#genre#
京视剧场,http://www.8700956.top:18888/rtp/239.81.1.072:4056
弈坛春秋,http://www.8700956.top:18888/rtp/239.81.1.073:4056
发现之旅,http://www.8700956.top:18888/rtp/239.81.1.074:4056
老故事,http://www.8700956.top:18888/rtp/239.81.1.075:4056
中华美食,http://www.8700956.top:18888/rtp/239.81.1.076:4056
置业频道,http://www.8700956.top:18888/rtp/239.81.1.077:4056
纪实人文,http://www.8700956.top:18888/rtp/239.81.1.079:4056
南宁文旅,http://www.8700956.top:18888/rtp/239.81.0.139:4056
吉林卫视,http://www.8700956.top:18888/rtp/239.81.0.143:4056
精彩影视,http://www.8700956.top:18888/rtp/239.81.0.152:4056
示索记录,http://www.8700956.top:18888/rtp/239.81.0.153:4056

.地方频道,#genre#
巩义,http://live.dxhmt.cn:9081/tv/10181-1.m3u8
荥阳,http://live.dxhmt.cn:9081/tv/10182-1.m3u8
新密,http://live.dxhmt.cn:9081/tv/10183-2.m3u8
新郑,http://live.dxhmt.cn:9081/tv/10184-1.m3u8
杞县,http://live.dxhmt.cn:9081/tv/10221-1.m3u8
通许,http://live.dxhmt.cn:9081/tv/10222-1.m3u8
尉氏,http://live.dxhmt.cn:9081/tv/10223-1.m3u8
兰考,http://live.dxhmt.cn:9081/tv/10225-1.m3u8
新安,http://live.dxhmt.cn:9081/tv/10323-1.m3u8
汝阳,http://live.dxhmt.cn:9081/tv/10326-1.m3u8
宜阳,http://live.dxhmt.cn:9081/tv/10327-1.m3u8
宝丰，http://live.dxhmt.cn:9081/tv/10421-1.m3u8
叶县,http://live.dxhmt.cn:9081/tv/10422-1.m3u8
鲁山,http://live.dxhmt.cn:9081/tv/10423-1.m3u8
郏县，http://live.dxhmt.cn:9081/tv/10425-1.m3u8
舞钢，http://live.dxhmt.cn:9081/tv/10481-1.m3u8
汤阴,http://live.dxhmt.cn:9081/tv/10523-1.m3u8
滑县,http://live.dxhmt.cn:9081/tv/10526-1.m3u8
内黄,http://live.dxhmt.cn:9081/tv/10527-1.m3u8
林州,http://live.dxhmt.cn:9081/tv/10581-1.m3u8
浚县,http://live.dxhmt.cn:9081/tv/10621-1.m3u8
淇县,http://live.dxhmt.cn:9081/tv/10622-1.m3u8
新乡,http://live.dxhmt.cn:9081/tv/10721-1.m3u8
嘉获,http://live.dxhmt.cn:9081/tv/10724-1.m3u8
原阳，http://live.dxhmt.cn:9081/tv/10725-1.m3u8
封丘,http://live.dxhmt.cn:9081/tv/10727-1.m3u8
长垣，http://live.dxhmt.cn:9081/tv/10728-1.m3u8
卫辉 ,http://live.dxhmt.cn:9081/tv/10781-1.m3u8
辉县,http://live.dxhmt.cn:9081/tv/10782-1.m3u8
武陟,http://live.dxhmt.cn:9081/tv/10823-1.m3u8
温县，http://live.dxhmt.cn:9081/tv/10825-1.m3u8
泌阳,http://live.dxhmt.cn:9081/tv/10882-1.m3u8
孟州,http://live.dxhmt.cn:9081/tv/10883-1.m3u8
南乐,http://live.dxhmt.cn:9081/tv/10923-1.m3u8
建安,http://live.dxhmt.cn:9081/tv/11003-1.m3u8
鄢陵,http://live.dxhmt.cn:9081/tv/11024-1.m3u8
襄城,http://live.dxhmt.cn:9081/tv/11025-1.m3u8
禹州,http://live.dxhmt.cn:9081/tv/11081-1.m3u8
舞阳,http://live.dxhmt.cn:9081/tv/11121-1.m3u8
渑池,http://live.dxhmt.cn:9081/tv/11221-1.m3u8
义马,http://live.dxhmt.cn:9081/tv/11281-1.m3u8
灵宝,http://live.dxhmt.cn:9081/tv/11282-1.m3u8
方城,http://live.dxhmt.cn:9081/tv/11322-1.m3u8
镇平,http://live.dxhmt.cn:9081/tv/11324-1.m3u8
淅川,http://live.dxhmt.cn:9081/tv/11326-1.m3u8
唐河,http://live.dxhmt.cn:9081/tv/11328-1.m3u8
新野,http://live.dxhmt.cn:9081/tv/11329-1.m3u8
桐柏,http://live.dxhmt.cn:9081/tv/11330-1.m3u8
邓州,http://live.dxhmt.cn:9081/tv/11381-1.m3u8
永城，http://live.dxhmt.cn:9081/tv/11481-1.m3u8
罗山,http://live.dxhmt.cn:9081/tv/11521-1.m3u8
光山,http://live.dxhmt.cn:9081/tv/11522-1.m3u8
新县，http://live.dxhmt.cn:9081/tv/11523-1.m3u8
商城，http://live.dxhmt.cn:9081/tv/11524-1.m3u8
其余川,http://live.dxhmt.cn:9081/tv/11526-1.m3u8
西华,http://live.dxhmt.cn:9081/tv/11622-1.m3u8
沉丘,http://live.dxhmt.cn:9081/tv/11624-1.m3u8
郸城,http://live.dxhmt.cn:9081/tv/11625-1.m3u8
鹿邑,http://live.dxhmt.cn:9081/tv/11628-1.m3u8
项城,http://live.dxhmt.cn:9081/tv/11681-1.m3u8
西平,http://live.dxhmt.cn:9081/tv/11721-1.m3u8
平舆,http://live.dxhmt.cn:9081/tv/11723-1.m3u8
确山,http://live.dxhmt.cn:9081/tv/11725-1.m3u8
泌阳,http://live.dxhmt.cn:9081/tv/11726-1.m3u8
遂平，http://live.dxhmt.cn:9081/tv/11728-1.m3u8
新蔡,http://live.dxhmt.cn:9081/tv/11729-1.m3u8
济源,http://live.dxhmt.cn:9081/tv/19001-1.m3u8
洛阳新闻,https://m.wuzhij.com/hnly.php?id=zh
洛阳科教,https://m.wuzhij.com/hnly.php?id=kj
洛阳文旅,https://m.wuzhij.com/hnly.php?id=wl
崇县综合，https://m.wuzhij.com/hnly.php?id=cx
洛宁综合，https://m.wuzhij.com/hnly.php?id=ln
新安综合，https://m.wuzhij.com/hnly.php?id=xa
周口新闻,https://m.wuzhij.com/hnzk.php?id=zkxwzh
周口公共,https://m.wuzhij.com/hnzk.php?id=zkgg
周口教育,https://m.wuzhij.com/hnzk.php?id=zkjy
周口川汇,https://m.wuzhij.com/hnzk.php?id=zkch
湖南电视剧,https://m.wuzhij.com/mg.php?id=hndsj
湖南国际，https://m.wuzhij.com/mg.php?id=hngj
湖南娱乐,https://m.wuzhij.com/mg.php?id=hnyl
湖南都市，https://m.wuzhij.com/mg.php?id=hnds         
金鹰纪实,https://m.wuzhij.com/mg.php?id=jyjs
湖南公共，https://m.wuzhij.com/mg.php?id=hngg
金鹰卡通，https://m.wuzhij.com/mg.php?id=jykt
陕西卫视，https://m.wuzhij.com/sxxa.php?id=sxws
农林卫视,https://m.wuzhij.com/sxxa.php?id=nlws
陕西新闻，https://m.wuzhij.com/sxxa.php?id=sxxwzx
陕西都市，https://m.wuzhij.com/sxxa.php?id=sxdsqc
陕西生活，https://m.wuzhij.com/sxxa.php?id=sxsh
陕西公共，https://m.wuzhij.com/sxxa.php?id=sxgg
陕西体育,https://m.wuzhij.com/sxxa.php?id=sxtyxx
百视通,http://180.107.88.32:9999/rtp/239.49.1.74:6000
百视通,http://180.107.88.32:9999/rtp/239.49.1.183:6000
欢笑剧场4K,http://180.107.88.32:9999/rtp/239.49.8.231:6000
中教一个,http://180.107.88.32:9999/rtp/239.49.1.54:6000
中教二台,http://180.107.88.32:9999/rtp/239.49.1.55:6000
中教四台,http://180.107.88.32:9999/rtp/239.49.1.56:6000
江苏城市,http://180.107.88.32:9999/rtp/239.49.9.35:6000
江苏体育，http://180.107.88.32:9999/rtp/239.49.9.37:6000
江苏新闻,http://180.107.88.32:9999/rtp/239.49.9.40:6000
江苏城市,http://180.107.88.32:9999/rtp/239.49.1.17:6000
江苏体育，http://180.107.88.32:9999/rtp/239.49.1.19:6000
江苏影视，http://180.107.88.32:9999/rtp/239.49.1.20:6000
江苏新闻,http://180.107.88.32:9999/rtp/239.49.1.22:6000
南京生活，http://180.107.88.32:9999/rtp/239.49.1.28:6000
南京新闻,http://180.107.88.32:9999/rtp/239.49.1.158:6000
南京娱乐,http://180.107.88.32:9999/rtp/239.49.8.229:6000
南京少儿，http://180.107.88.32:9999/rtp/239.49.8.230:6000
南京新闻,http://180.107.88.32:9999/rtp/239.49.9.3:6000
盱眙新闻,http://180.107.88.32:9999/rtp/239.49.9.18:6000
沛县新闻,http://180.107.88.32:9999/rtp/239.49.9.19:6000
泰州新闻,http://180.107.88.32:9999/rtp/239.49.9.20:6000
徐州新闻,http://180.107.88.32:9999/rtp/239.49.9.45:6000
东海新闻,http://180.107.88.32:9999/rtp/239.49.9.48:6000
财富天下,http://180.107.88.32:9999/rtp/239.49.1.29:6000
第一财经，http://180.107.88.32:9999/rtp/239.49.1.168:6000
泰州影视，http://180.107.88.32:9999/rtp/239.49.1.101:6000
沭阳综合，http://180.107.88.32:9999/rtp/239.49.1.117:6000
宿迁公共，http://180.107.88.32:9999/rtp/239.49.1.123:6000
常州生活,http://180.107.88.32:9999/rtp/239.49.1.132:6000
常州都市,http://180.107.88.32:9999/rtp/239.49.1.133:6000
常州新闻,http://180.107.88.32:9999/rtp/239.49.1.134:6000
东海新闻,http://180.107.88.32:9999/rtp/239.49.1.136:6000
金色频道,http://180.107.88.32:9999/rtp/239.49.1.169:6000
连云公共,http://180.107.88.32:9999/rtp/239.49.1.245:6000
